ANSI system	ena_sI_(e_ena_esa_AI_)_praNAlI
trailer label	anuyAna_nAmapawra
trailer pump driver	anuyAna_paMpa_drAivara
trailer pump operator	anuyAna_paMpa_pracAlaka
trailing bogie	anuyAna_bogI
trailing edge	AXunika_pragawi_kI_ora
train bearer	trena_biyarara
train clerk	gAdZI_klarka
train controller	gAdZI_niyaMwraka
train despatcher	gAdZI_preRaka
train driver	gAdZI_cAlaka
train engine examiner	gAdZI_iMjana_parIkRaka
train examiner	gAdZI_parIkRaka
train indicator recorder	gAdZI_saMkewaka_aiBaleKaka
train inspector	gAdZI_nirIkRaka
train lighting inspector	gAdZI_prakASana_nirIkRaka
train recorder	gAdZI_aBileKaka
train set	KilOne_kI_trena
train starter	gAdZI_pravarwaka
trained teacher	praSikRiwa_aXyApaka
training centre	praSikRaNa_keMxra
training college	praSikRaNa_mahAvixyAlaya
training commander	praSikRaNa_kamAMdara
training data selective	praSikRaNa_AMkadZA_cayaka
training division	praSikRaNa_praBAga
training officer	praSikRaNa_aXikArI
training period	praSikRaNa_kAla
training reserve	praSikRaNa_ArakRaNa
training section	praSikRaNa_anuBAga
training within industry centre	uxyogAMwargawa_praSikRaNa_keMxra
tramp agency	asWAyI_ejeMsI
tramp steamer	mAla_jahAja
transit inspector	pAravahana_nirIkRaka
transaction control process	lena_xena_niyaMwraNa_prakrama
transaction file	sOxA_saMcikA
transaction log	lena_xena_aBileKa
transaction of business	kArya_karanA
transaction oriented processing	sOxABimuKI_saMsAXana
transaction processing system	sOxA_saMsAXana_waMwra
transaction processing	kriyAkalApa_saMsAXana
transaction routing	lenaxena_mArgana
transaction services layer	sOxA_sevA_swara
transaction tax	lena_xena_kara
transborder data flow	sImApAra_AMkadZA_pravAha
transborder data flows	aMwarasImA_AMkadZA_pravAha
transcribing machine	prawileKana_maSIna
transcription mode	prawileKana_aipyaMwaraNa_rIwi
transcription programme exchange service	prawileKana_Ora_kAryakrama_vinimaya_sevA
transfer adjustment	aMwaraNa_samAyojana
transfer allowance	sWAnAMwaraNa_BawwA
transfer book	aMwaraNa_bahI
transfer cheque	aMwaraNa_ceka
transfer circuit	sWAnAMwaraNa_paripaWa
transfer cost	aMwaraNa_lAgawa
transfer credit	aMwaraNa_kredita_aamA
transfer debit	aMwaraNa_debita_aAme
transfer deed	haswAMwaraNa_vileKa
transfer entry book	aMwaraNa_praviiRta_puswaka
transfer entry	aMwaraNa_praviRti
transfer fees	aMwaraNa_PIsa_aulka
transfer guarantee	aMwaraNa_gAraMtI
transfer journal	aMwaraNa_jarnala
transfer ledger abstract	aMwaraNa_KAwA_sAra
transfer memorandum	sWAnAMwaraNa-AxeSa
transfer of balance	SeRa_rASi_kA_aMwaraNa
transfer of charge	kAryaBAra_aMwaraNa
transfer of shares	SeyaroM_kA_aMwaraNa
transfer on deputation	prawiniyukwi_para_sWAnAMwaraNa
transfer operation	sWAnAMwaraNa_saMkriyA
transfer or deputat	sWAnAMwaraNa_yA_prawiniyukwi
transfer order	sWAnAMwaraNa_AxeSa
transfer payment	aMwaraNa_axAyagI
transfer policy	haswAMwaraNa_nIwi
transfer print	aMwaraNa_prawi_ipraMta
transfer problem	aMwaraNa_aWAnAMwaraNa_samasyA
transfer rate	haswAMwaraNa_xara
transfer scroll	aMwaraNa_sUcI
transfer time	sWAnAMwaraNa_kAla
transfer transactions	aMwaraNa_lenaxena
transfer vector technique	sWanAMwaraNa_saxiSa_wakanIka
transfer vector	anwaraNa_saxiSa
transferabe goods	aMwaraprIya_vaswueM_MAla
transferable goods	aMwaraprIya_vaswuez
transferor company	aMwaraka_kaMpanI
transferrabe account	aMwaraprIya_leKA
transformational system	rUpAMwaraNIya_waMwra
tranship clerk	yAnAMwaraNa_klarka
transhipment clerk	yAnAMwaraNa_klarka
transhipment inspector	yAnAMwaraNa_nirIkRaka
transhipment trade	yAnAMwaraNa_aAhanAMwaraNa_vyApAra
transient area	kRaNika_kRewra
transient error	kRaNika_wruti
transient fault	kRaNika_xoRa
transient goods	asaMceya_vaswueM
transient routine	kRaNika_nemakA
transit camp	alpakAlika_AvAsa{SaraNArWiyoM_ke_lie}
transit clerk	pAravabana_klarka
transit duty	pAravahana_Sulka
transit fee	pAravahana_Sulka
transit goods in	mArgasWa_vaswueM_mAla
transit money	pAravahana_viwwa
transit pass	pAragamana_pAsa
transit passenger	pAragamana_yAwrI
transit period	pAragamana_avaXi
transit register	pAragamana_rajistara
transit time	preRaka_kAla
transit visa	pAragamana_vIjZA
transition constrain	saMkrAMwi_niroXa
transition diagram	saMkramaNa_AreKa
transition table	saMkramaNa_sAraNI
transitional measure	saMkramaprakAlIna_upAya
transitional period	saMkrAMwi_kAla_aMwa:kAlIna_avaXi
transitional relief	parivarwI_sahAyawA
translation department	anuvAxa_viBAga
translation look aside buffer	anuvAxa_sahaxarSI_baPara
translator routine	anuvAxaka_nemakA
translator writing system	anuvAxaka_leKana_praNAlI
transmission line	saMcaraNa_lAina
transmission block character	saMcaraNa_KaMda_saMprawIka
transmission channel	prasAraNa_praNAlI
transmission charge	prasAraNa_Karca_@prasAraNa_praBAra
transmission code	saMcaraNa_kUta
transmission control character	saMcaraNa_niyaMwraNa_saMprawIka
transmission control layer	prasAraNa_niyaMwraNa_parawa
transmission control protocol	prasAraNa_niyaMwraNa_protokOYla
transmission control protocol\
transmission deviation	saMcaraNa_vicalana
transmission executive	prasAraNa_kAryapAlaka
transmission extension	saMcaraNa_viswAra
transmission facility	saMcaraNa_suviXA
transmission interface	saMcaraNa_aMwarApqRTa
transmission interruption	saMcaraNa_bAXA
transmission level point	saMcaraNa_swara_biMxu
transmission level	saMcaraNa_biMxu
transmission link	saMcaraNa_kadZI
transmission loss	saMcaraNa_hAni
transmission medium	saMcaraNa_mAXyama
transmission mode	prasAraNa_viXA
transmission objective	saMcaraNa_uxxeSya
transmission of figures	AMkadZuM_kA_preRapra
transmission of shares	SeyaroM_kA_preRapra
transmission officer	prasAraNa_aXikArI
transmission rate	saMcaraNa_xara
transmission service	saMcaraNa_sevA
transmission speed	saMcaraNa_cAla
transmission system code	saMcaraNa_waMwra_kUta
transmission time	prasAraNa_kAla
transmit control block	saMcaraNa_niyaMwraNa_KaMda
transmit network	prasAraNa_saMjAla
transmittal of telex message	teleksa_sUcanA_BejanA
transmitter register	preRiwra_paMjI
transmitter start code	preRiwra_prAraMBa_kUta
transmitting aerial	praxAna_prAwanwu
transmitting station	prasAraNa_keMxra
transparent access	pAraxarSI_aBigama
transparent bridge	pAraxarSI_pula
transport and petroleum division	parivahana_Ora_petroliyama_praBAga
transport assistant	parivahana_sahAyaka
transport audit section	parivahana_leKAparIkRA_anuBAga
transport caretaker	parivahana_keyaratekara
transport charge	DulAWa_aarivahana_Sulka
transport commissioner	parivahana_Ayukwa
transport equipments	parivahana_upaskara_apakaraNa
transport layer	parivahana_swara
transport officer	parivahana_aXikArI
transport operations	parivahana_cAlana_FakAryata
transport operator	parivahana_cAlaka
transport protocol	parivahana_protokOYla
transport section	parivahana_anuBAga
transport service access point	parivahana_sevA_aBigama_biMxu
transport service	parivahana_vyavasWA_AevA
transport supervisor	parivahana_paryavekRaka
transportation apprentice	parivahana_SikRu
transportation member	parivahana_saxasya
transportation money	parivahana_Sulka
transportation officer	parivahana_aXikArI
transportation superintendent	parivahana_aXIkRaka
transshipment center	vAhanAnwaraNa_kenxra
trap door	kUta_xvAra
trapdoor encryption	coraxaravAjA_guhAva
trash can	kUdZA_kA_dibbA
trash collection	GAsa_PUsa_kA_DZera
trash dump	raxxI_kA_DZera
travel agency	yAwrA_sambaMXI_saMsWA
travel agent	yAwrA_prawiniXi
travel allowance	yAwrA_BawwA
travel bargain	yAwrA_molaBAva
travel brochure	yAwrA_vivaraprikA
travel day	yAwrA_xivasa
travel expenses	yAwrA_vyaya
travel expert	yAwrA_viSeRajFa
travelling allowance bill	yAwrA_BawwA_bila
travelling allowance	yAwrA-BawwA
travelling bill	yAwrA-BawwA-bila
travelling concession	yAwrA_saMbaMXI_riyAyawa
travelling dispensary	cala_ORaXAlaya_aispeMsarI
travelling expenses account	yAwrA_vyaya_leKA
travelling expenses	yAwrA_vyaya
travelling parcel clerk	cala_pArsala_klarka
travelling salesman	vyApAra_yAwrI
travelling ticket examiner	cala_tikata_parIkRaka
travelling ticket inspector	cala_tikata_nirIkRaka
trawl net	maCalI_pakadane_kA_mahAjAla
tray cloth	tre_AvaraNa
tread on	nArAja_karanA
treasure chest	rawna_petI
treasure house	woSakaKAnA
treasure hunt	KajZAne_kI_Koja
treasure of charitable endowments	pUrwa_akRayaniXi_kopra
treasure sircar	koRa_sarakAra
treasure trove	KajAnA{jisakA_mAlika_pawA_na_ho}
treasurer of charitable endowment	pUrwa_akRayaniXi_koRAXyakRa
treasury accounts section	KajAnA_leKA_anuBAga
treasury accounts	KajAnA_leKe
treasury agency	rAjakoRa_aajZAnA_ejeMsI
treasury and sub treasury	KajA_AnA_Ora_upa_KajZAnA
treasury audit deptt.	KajAnA_leKAparIkRA_viBAga
treasury balance	KajZAnA_AAjakoRa_SeRa
treasury balances	KajAnA_SeRa
treasury bench	sawwA_pakRa
treasury bill	rAjakoRa_aajZAnA_bila
treasury bond	koRAgAra_prawijFA-pawra
treasury cash account	KajAnA_rokadZa_leKA
treasury compilation deptt.	KajAnA_saMkalana_anuBAga
treasury coupon	rAjakoRa_aajZAnA_kUpana
treasury deposit receipt	KajAnA_jamA_rasIxa
treasury deposits	rAjakoRa_aajZAnA_jamA
treasury miscellaneous section	KajAnA_viviXa_anuBAga
treasury note	rAjakoRa_aajZAnA_nota
treasury office	koRAXikArI
treasury officer	KajAnA_AbakArI
treasury pass book	rAjakoRa_aajZAnA_pAsa_buka
treasury receipt	KZajZAnA_rasIxa
treasury receipts	rAjakoRa_aajZAnA_prApwiyAM
treasury schedule	KajAnA_anusUcI
treated sleeper	upacAriwa_slIpara
tree administrator	warU_praSAsaka
tree branch	pedZa_kI_SAKA
tree data structu	warU_AMkadZA_saMracanA
tree diagram	vaMSa_vqkRa
tree house	vqkRaGara
tree killer	warU_GAwaka
tree line	wala_jisake_Upara_peda_na_ugawA_ho{pahAdZoM_iwyAxi_para}
tree network	warU_netavarka
tree pointer	warU_saMkewaka
tree structure	warU_saMracanA
tree walking	warU_gamana
trench coat	barasAwI
trenching ground	KAwi_BUmi
trend analysis	pravqia_Penwa_viSleRaNa
trend line	pravqwwi_xiSA
trend setter	kI_ora_le_jAne_vAlA
trespass against	aparAXa_karanA
trespass quare clausum fregit	BUmi_para_gZEra_kAnUnI_praveSa
trestle bridge	Prema_yA_AXAra_vAlA_pula
tresury bill	trejarI_bila
trial and error met	prayawna_wruti_viXi
trial attorney	parIkRaNa_muKZwAra
trial balance	SeRa_prIkRaNa
trial balloon	parIkRaNa_gubbArA
trial engine driver	parIkRaNa_iMjana_cAlaka
trial order	parIkRaNa_AxeSa
trial period	paraKa_kAla
trial run	parIkRaNa_praNAlI
triangular wave	wrikoNIya_waraMga
triangular waveform	wrikoNIya_waMraga_rUpa
tribal area develop	janajAwi_kRewra_vikAsa
tribal area	jananAwIya_axivAsI_kRewra
tribal chief	janajAwIya_pramuKa
tribal welfare	janajAwi_kalyANa
tributary circuit	sahAyaka_paripaWa
tributary station	sahAyakA_kenxra
trickle charger	bEtarI_cArja_karanevAlA_vixyuwa_yanwra
trigger circuit	trigara_paripaWa
trigger level	trigara_swara
trigger transducer	trigara_trAsadyUsara
trilingual formula	wriBARA_sUwra
trip wire	cewAvanI_ke_sAXana
tripartite agreement	wripakRIya_karAra_aamaJOwA
tripartite consultation	wripakRIya_parAmarSa
triple register	wriguNa_paMjI
triptique system	triptika_paxXawi
triumphal arch	vijaya_woraNa
trivial graph	wucCAleKa_AleKa
trojan horse	{SawruoM_ko_gupwa_rUpa_se_vinASa_karane_ke_lie_prayoga__kI_jAne_vAlI_vaswu_yA_vyakwi}
trolley bus	trAlI_basa
trolley car	trAlI_kAra
trolley coach	trAlI_koca
trolly driver	trAEYlI_drAivara
tropic bird	uRNakatibaMXI_pakRI
tropic of cancer	karka_reKA
tropic of capricorn	makara_reKA
trouble shoot	viXna_nivAraNa
trouble shooting	viXna_nivAraNa
trouble spot	upaxrava_sWAna
trouser suit	mahilAoM_ke_pawalUna_sUta
truck crop	sAga_BAjI_kI_Pasala
truck driver	traka_drAivara
truck farming	bikrI_ke_lie_kI_gaI_KewI
truck sales	traka_bikrI
trucking company	traka_kampanI
truckle bed	pahiyexAra_nIcA_palaMga
true bill	vAswavika_bila
true blue	pUrI_waraha_saccA
true bug	vAswavika_kIdZA
true cat	vAswavika_billI
true cedar	vAswavika_xevaxAra
true copy	sahI-prawilipi
true discount	asala_battA
true inflation	yaWArWa_sPIwi
true value	vAswavika_mUlya
trump card	sarvowwama_sAXana
trumpet arch	wurahI_kI_meharAba
truncated cone	wiryaka_SaMku
truncation error	Cinna_wruti
trunk call	traMka_kAla
trunk circuit	traMka_paripaWa
trunk road	pramuKa_rAswA
truss bridge	BUse_ke_AXAra_vAlA_pula
trust account	nyAsa_leKA
trust association	nyAsa_saMxa
trust company	trasta_kampanI
trust deed	nyAsa_vileKa
trust deposit	nyAsa_jamA
trust fund loan	nyAsa_niXi_qNa
trust fund money	trasta_niXi_viwwa
trust fund	nyAsa_niXi
trust money	nyAsa-Xana
trust property	nyAsa_sampwwi
trust receipt facility	nyAsa_rasIxa_suviXA
trust receipt	nyAsa_rasIxa
trust territory	saMyukwa_rARtra_saMGa_xvArA_SAsiwa_kRewra
trustee cash book	nyAsI_rokadZa_bahI
trustee letter	nyAsI_pawra_aasIxa
trustee receipt	nyAsI_pawra_aasIxa
trustee securities	nyAsI_prawiBUwiyAM
trustees cash book	nyAsa_rokadZa_bahI
truth table	sawyamAna_sAraNI
try on	pahanakara_xeKanA
ttri state output	wri_avasWA_nirgama
ttwo level subroutine	xvi_swara_upanemakA
tuafish test	tuAPiSa_parIkRaNa
tubal ligation	nalikA_AveRtana
tubewell operator	nalakUpa_pracAlaka
tubular cavity	nAlavaw_guhA
tuck into	rucipUrvaka_KAnA
tug boat	Ora_jahAjZoM_ko_KIcane_vAlA_jahAjZa
tug of war	rassAkaSI
tuition fee	SikRA_Sulka
tuition money	SikRA_Sulka
tumble down	sarvanASa_honA
tumble drier	kapade_suKAne_kA_yanwra
tumpet for windows	viMdoja_ke_lie_cabUwarA
tumpet newsreader	taMpeta_samAcAravAcaka
tumultuous disturbance	vikRubXa_uwwejanA
tune in	lagAnA
tune up's	Xuna_sura
tune up	Xuna_sura
tuning fork	svariwra
tunnel vision	AKoM_se_sIXA_na_xeKa_sakane_kI_bImArI
tuple coupling	tapala_saMyojana
turbine operator	tarabAina_OYparetara
turbo gopher	tarbo_goPara
turbo pascal	tarbo_pAskala
turbojet engine	tarbojeta_iMjana
turing machine	tyUriMga_maSIna
turkey cock	nara_pIrU
turkish bath	hammAma
turkish delight	eka_prakAra_kI_cipacipI_miTAI
turn against	kA_xuSmana_bananA
turn away	asvIkAra_karanA
turn down	asvIkAra_kara_xenA
turn key job	tarna_kI_jEYAba
turn round	PerA_samaya
turn table	GUma_cakra
turnaround document	prawivarwana_xaswAveja
turnaround effort	cAroM_waraPa_GUmane_kA_prayAsa
turnaround sequence	prawivarwana_anukrama
turnaround time	prawivarwana_kAla
turned about	pICe_GUmA
turned out to be	nikalA
turning away	muzha_Perane_kI_kriyA
turnip bed	Salajama_kI_kyArI
turnip cabbage	Salajama
turnkey company	varwana_kuMjI_kaMpanI
turnkey console	varwana_kuMjI_kansola
turnkey operation	varwana_kuMjI_pracAlana
turnkey system	prawicarwana_kuMjI_waMwra
turnover of capital	pUMjI_Avarwa
turnover of deposits	jamArASi_saMbaMXI_lenaxaWazna
turnover tax	papryAvarwa_kara
turret clock	burja_GadI
turtle graphics	kacCapa_AleKikI
turtleneck collar	Uzce_waWA_banxa_gale_kI_pattI
tutti frutti	Pala_miSriwa_AisakrIma
tv announcer	tI_vI_uxGoRaka
twenty eight	aTTAisa
twenty five	paccIsa
twenty four	cObIsa
twenty nine	unwIsa
twenty one	ikkIsa
twenty seven	sawwAisa
twenty six	CabbIsa
twenty three	weisa
twenty two	bAisa
twig blight	tahanI_aMgamArI
twilight zone	saMXi_kRewra
twin bed	xoharA_palaMga
twin bill	xoharA_bila
twin cable	yugala_kebala
twin city	judZavAz_Sahara
twin engined	xo_iMjanavAlA
twin set	joda_sUta
twin sharing basis	xviBAgiwA_AXAra
twist drill	cakkaraxAra_drila
twisted pair cable	vyAvarwiwa_yugma_kebala
twisted pair	EMTiwa_yugala
two address code	xo_pawA_kUta
two address instruction	xo_pawA_anuxeSa
two address	xo_pawA
two and half	DAI
two at a time	eka_sAWa_xo_xo
two channel switch	xo_praNAla_svica
two dimensional viewing	xvivima_prekRaNa
two dimensional	lambAI_cOdAI_kA
two dozen	xo_xarjana
two eauity oscillation	xviaMSI_xolana
two edged	xonoM_ora_XAra_vAlA
two faced	JUTA
two hundred	xosO
two level address	xvi_swara_pawA
two level grammar	xvi_swara_vyAkaraNa
two level memory	xvi_swarIya_smqwi
two level subroutine	xvi_swara_upanemakA
two pass assembler	xvi_xOra_kodAMwaraka
two plus one address instruction	xo_XanA_eka_pawA_anuxeSa
two tier bid	aXika_mUlya_xe_kara_kampanI_para_aXikAra_pAne_kA_praswAva
two times	xo_bAra
two way alternate communication	xviXA_ekAMwara_saMcAra
two way courts	kraya_vikraya_ke_BAva
two wire circuit	xviwAra_paripaWa
tying agreement	saSarwa_karAra_aamaJOwA
tying up	powa_ko_laMgara_se_bAzXanA
type and despatch section	tAipa_waWA_nirgama_viBAga
type declaration	prakAra_GoRaNA
type face	tAipa_Pesa
type head	taMkaNa_SIrRa
type of account	KAwe_kA_prakAra
type of farming	KewI_kA_prakAra
type of grammar	vyAkaraNa_prakAra
type of organisation	saMgaTana_kA_prakAra
type script	tAipa_aaMkiwa_prawi
type wheel	muxraka_cakra
typeover mode	taMkaNa_viXA
typewriter terminal	tAipiMga_tarminala
typical value	viSiRta_mUlya
typing machine	taMkaNa_maSIna
typing pool	taMkaNa_pUla
typographical error	muxraNa_BUla
uavoidable expenses	aparihArya_vyaya
ugly duckling	CipA_ruswama
ulcer diet	alasara_kA_AhAra
ulterior motive	gupwa_aiBaprAya
ultimate consignee	aMwima_pareRiwI
ultimate cost	aMwima_lAgawa
ultimate goal	aMwima_lakRya
ultimately it has to be done	aMwawa:yaha_karanA_hI_hogA
ultimately objective	aMwima_uxxeSya
ultra vires	Sakwi_bAya
ultramarine blue	nIla_kA_raMga
umbilical cord	nABi
unabridged dictionary	asaMkRipwa_SabxakoSa
unabsorbed depreciation	anavaSoRiwa_mUlyahqAsa
unabsorbed expenses	anavaSoRiwa_Karca
unaccompanied baggage	asaMgI_asabAba
unaccounted money	binA_hisAba_wakA_Xana
unacknowledged operation	asvIkqwa_pracAlana
unadjusted balances	asamAyojiwa_SeRa
unadjusted claims	asamAyojiwa_xAve
unadjusted index	asamAyojiwa_sUcakAMka
unallowable digit	asammawa_aMka
unani medicine department	yUnAnI_cikiwsA_viBAga
unanimous decision	ekamawa_nirNaya
unary operation	ekala_saMkriyA
unary operator	ekAMgI_saMcAlaka
unasked for	be_mAzgA
unathorised leave	anaXikqwa-CuttI
unattended mode	upasWiwi_nirapekRa_viXA
unauthorised absence	anaXikqwa_anupri_iFiAwa
unauthorised aid	anaXikqwa_sahAyawA
unauthorised monetary benefit	anaXikqwa_ArWika_lABa
unauthorized absence	avEXa_anupasWiwi
unavoidable accident	aparihArya_xuxartanA
unavoidable casualty	aparihArya_xurGatanA
unavoidable circums	aparihArya_parisWiwiyAz
unavoidable circumstances	aparihArya_parisWiwiyAM
unavoidable delay	aparihArya_vilaMba
unavoidable reasons	aparihArya_kAraNa
unbalanced line	asaMwuliwa_lAina
unbalanced traffic	asaMwuliwa_yAwAyAwa
unbalanced transmission	asaMwuliwa_prasAraNa
unbalanced wire circuit	asaMwuliwa_wAra_paripaWa
unbanked areas	bEMka_rahiwa_kRewra
unbanked centres	bEMka_rahiwa_kenxra
unbiassed estimate	aniBanawa_Akalana
unboiled water	kaccA_pAnI
unbuffered communication primitive	anuBaprawiroXiwa_saMcAra_pUrvaga
unbundled attribute	vicCinna_guNa
uncalled capital	anamAMgI_pUMjI
uncalled for	anAvaSyaka
uncalled liability	anamAMgI_xeyawA
uncared for	upekRiwa
uncashed cheques	be_BunAe_gae_cEka
uncertified copy	kaccI_nakala
unclaimed baggage	a_xAvI_sAmAna
unclaimed consignment	bebArisI_IxAvI_mAla_aareRapra
unclaimed debenture interest	axAvI_dibeMcara_byAja
unclaimed dividends	axAvI_lABAMSa
unclaimed note	axAvI_nota
unclassified document	avargIkqwa_praleKa
unclassified item	avargIkqwa_maxa
unclassified payment	avargIkqwa_axAyagI
unclassified receipt	avargIkqwa_prApwi
unclassified receipts	avargIkqwa_prApwiyAM
uncommited logic array	aprawibaxva_warka_saraNI
uncommitted logic array	aprawibaxXa_warka_saraNI
uncompleted contract	apUrNa_TekA
unconditional branch instruction	asaMwuliwa_SAKA_anuxeSa
unconditional statement	asaMwuliwa_kaWana
unconditional transfer instruction	aprawibaMXiwa_sWAnaMAwaraNa_anuxeSa
unconditional transfer	binA_Sarwa_haswAMwaraNa
unconditioned reflex	svABAvika_prawikRepa_kriyA
unconditonal transfer instruction	aparibaMXiwa_sWAnAMwaraNa_anuxeSa
unconfirmed report	apuRta_samAcAra
uncorroborated testimony	aparipuRta_sAkRya
uncovered demand	apUriwa_mAzga
uncurrent coin	apracaliwa_sikkA
uncurrent scrips	apracaliwa_pawraka
uncurrent series	apracaliwa_SrqMKalA
undefined record	apariBARiwa_aBileKa
undelivered letter	aviwariwa_pawra
under age	nyUnavayaska
under assessment	avanirXAraNa
under baked bread	kaccI_rotI
under billing	avabilana
under certificate of posting	dAka_pramApriwa
under charge	avapraBAra
under consideration	vicArAXIna
under construction	nirmAprAXIna
under consumption	alpopaBoga
under control	niyanwraNa_meM
under cooked rice	kaccA_Bawa
under cover of	se_CupA_huA
under developed	alpavikasiwa
under dispute	vivAxagraswa
under estimate	kama_anumAna
under estimation	nyUnAnumAna
under examination	parIkRAXIna
under his signature and seal	unake_haswAkRara_evaM_muhara_sahiwa
under intimation to this office	isa_kAryAlaya_ko_sUcanA_xewe_hue
under invoicing	avabIjakana
under it	isake_nIce
under law	viXi_ke_aXIna
under lip	nicalA_oMTa
under mentioned	nimnaliKiwa
under one's hand and seal	apane_haswAkRara_Ora_muhara_sahiwa
under one's hand	haswAkRara_sahiwa
under pain of	kA_Baya_xiKAkara
under population	janAlpawA
under privileged	alpa_suviXAprApwa
under production	nyUnowpAxana
under protest	Apwwi_sahiwa
under reference	prasaMgAXIna
under review	Alocya
